"n","p1","Deff","alpha","delta_p"
300,0.01,1.6,"99%",0.0187169052071629
400,0.01,1.6,"99%",0.0162093153896283
200,0.02,1.6,"99%",0.0322544847585592
300,0.02,1.6,"99%",0.026335676524949
400,0.02,1.6,"99%",0.0228073648964553
200,0.03,1.6,"99%",0.0393014494480514
300,0.03,1.6,"99%",0.0320894990998378
400,0.03,1.6,"99%",0.0277903214151774
200,0.04,1.6,"99%",0.0451468740427697
300,0.04,1.6,"99%",0.0368622682954962
400,0.04,1.6,"99%",0.0319236607850174
200,0.05,1.6,"99%",0.0502121569780473
300,0.05,1.6,"99%",0.0409980544935818
400,0.05,1.6,"99%",0.0355053566971806
200,0.06,1.6,"99%",0.0547143979806117
300,0.06,1.6,"99%",0.0446741188786884
400,0.06,1.6,"99%",0.0386889218406301
200,0.07,1.6,"99%",0.0587831110933391
300,0.07,1.6,"99%",0.0479962092240061
400,0.07,1.6,"99%",0.0415659364733422
200,0.08,1.6,"99%",0.062503016876638
300,0.08,1.6,"99%",0.0510334995774428
400,0.08,1.6,"99%",0.0441963070780879
200,0.09,1.6,"99%",0.0659331802129178
300,0.09,1.6,"99%",0.053834216213539
400,0.09,1.6,"99%",0.0466217988337489
200,0.1,1.6,"99%",0.0691167530540554
300,0.1,1.6,"99%",0.0564335925534622
400,0.1,1.6,"99%",0.0488729247781186
200,0.11,1.6,"99%",0.0720864135459645
300,0.11,1.6,"99%",0.0588583101916221
400,0.11,1.6,"99%",0.0509727918497693
200,0.12,1.6,"99%",0.0748676208286514
300,0.12,1.6,"99%",0.0611291564287873
400,0.12,1.6,"99%",0.0529394023792426
200,0.13,1.6,"99%",0.0774806714258724
300,0.13,1.6,"99%",0.0632627033072093
400,0.13,1.6,"99%",0.0547871081761211
200,0.14,1.6,"99%",0.0799420565541295
300,0.14,1.6,"99%",0.0652724158487776
400,0.14,1.6,"99%",0.0565275702914234
200,0.15,1.6,"99%",0.0822653908581345
300,0.15,1.6,"99%",0.0671694103643498
400,0.15,1.6,"99%",0.0581704157327487
200,0.16,1.6,"99%",0.0844620673759411
300,0.16,1.6,"99%",0.0689629892305431
400,0.16,1.6,"99%",0.059723700594563
200,0.17,1.6,"99%",0.0865417314550197
300,0.17,1.6,"99%",0.070661027840589
400,0.17,1.6,"99%",0.0611942451674696
200,0.18,1.6,"99%",0.0885126313386166
300,0.18,1.6,"99%",0.0722702608568967
400,0.18,1.6,"99%",0.0625878818402007
200,0.19,1.6,"99%",0.0903818825604851
300,0.19,1.6,"99%",0.0737964980884473
400,0.19,1.6,"99%",0.0639096420549252
200,0.2,1.6,"99%",0.0921556707387405
300,0.2,1.6,"99%",0.0752447900712829
400,0.2,1.6,"99%",0.0651638997041581
200,0.21,1.6,"99%",0.0938394094657216
300,0.21,1.6,"99%",0.0766195569850385
400,0.21,1.6,"99%",0.0663544827757528
200,0.22,1.6,"99%",0.0954378648853898
300,0.22,1.6,"99%",0.0779246903699631
400,0.22,1.6,"99%",0.0674847614424246
200,0.23,1.6,"99%",0.096955255166117
300,0.23,1.6,"99%",0.0791636343461097
400,0.23,1.6,"99%",0.0685577183996334
200,0.24,1.6,"99%",0.0983953307845964
300,0.24,1.6,"99%",0.0803394511648756
400,0.24,1.6,"99%",0.0695760056348816
200,0.25,1.6,"99%",0.0997614399531794
300,0.25,1.6,"99%",0.0814548746301976
400,0.25,1.6,"99%",0.0705419906918277
200,0.26,1.6,"99%",0.101056582409519
300,0.26,1.6,"99%",0.082512354017613
400,0.26,1.6,"99%",0.0714577947053079
200,0.27,1.6,"99%",0.102283453991788
300,0.27,1.6,"99%",0.0835140904697734
400,0.27,1.6,"99%",0.0723253239207757
200,0.28,1.6,"99%",0.103444483845815
300,0.28,1.6,"99%",0.0844620673759411
400,0.28,1.6,"99%",0.0731462960037178
200,0.29,1.6,"99%",0.104541865686442
300,0.29,1.6,"99%",0.0853580758967857
400,0.29,1.6,"99%",0.0739222621447766
200,0.3,1.6,"99%",0.105577584219926
300,0.3,1.6,"99%",0.0862037365381789
400,0.3,1.6,"99%",0.0746546257432037
200,0.31,1.6,"99%",0.10655343759667
300,0.31,1.6,"99%",0.0870005174837771
400,0.31,1.6,"99%",0.0753446582833431
200,0.32,1.6,"99%",0.10747105658296
300,0.32,1.6,"99%",0.0877497502486768
400,0.32,1.6,"99%",0.0759935128910939
200,0.33,1.6,"99%",0.108331921001551
300,0.33,1.6,"99%",0.088452643103099
400,0.33,1.6,"99%",0.0766022359591622
200,0.34,1.6,"99%",0.109137373883346
300,0.34,1.6,"99%",0.089110292627183
400,0.34,1.6,"99%",0.0771717771538056
200,0.35,1.6,"99%",0.109888633688196
300,0.35,1.6,"99%",0.0897236936892317
400,0.35,1.6,"99%",0.0777029980562481
200,0.36,1.6,"99%",0.110586804886489
300,0.36,1.6,"99%",0.0902937480855395
400,0.36,1.6,"99%",0.0781966796449897
200,0.37,1.6,"99%",0.111232887140379
300,0.37,1.6,"99%",0.0908212720368393
400,0.37,1.6,"99%",0.0786535287879201
200,0.38,1.6,"99%",0.111827783281279
300,0.38,1.6,"99%",0.0913070027018913
400,0.38,1.6,"99%",0.0790741838832523
200,0.39,1.6,"99%",0.112372306246083
300,0.39,1.6,"99%",0.0917516038408905
400,0.39,1.6,"99%",0.0794592197641771
200,0.4,1.6,"99%",0.112867185106924
300,0.4,1.6,"99%",0.0921556707387405
400,0.4,1.6,"99%",0.0798091519625435
200,0.01,2,"99%",0.0256291779716225
300,0.01,2,"99%",0.020926136185818
400,0.01,2,"99%",0.0181225655399712
200,0.02,2,"99%",0.0360616102496846
300,0.02,2,"99%",0.0294441814716157
400,0.02,2,"99%",0.0254994091480583
200,0.03,2,"99%",0.0439403562900572
300,0.03,2,"99%",0.0358771506755778
400,0.03,2,"99%",0.0310705239004524
200,0.04,2,"99%",0.0504757396656269
300,0.04,2,"99%",0.0412132688567824
400,0.04,2,"99%",0.0356917378029716
200,0.05,2,"99%",0.056138898149902
300,0.05,2,"99%",0.0458372183964449
400,0.05,2,"99%",0.0396961955701367
200,0.06,2,"99%",0.0611725566163125
300,0.06,2,"99%",0.0499471833238269
400,0.06,2,"99%",0.0432555296059126
200,0.07,2,"99%",0.0657215161668141
300,0.07,2,"99%",0.05366139324359
400,0.07,2,"99%",0.0464721297514156
200,0.08,2,"99%",0.0698804972674895
300,0.08,2,"99%",0.0570571870924345
400,0.08,2,"99%",0.0494129734905299
200,0.09,2,"99%",0.0737155364644141
300,0.09,2,"99%",0.0601884834844473
400,0.09,2,"99%",0.0521247557127915
200,0.1,2,"99%",0.077274879106467
300,0.1,2,"99%",0.0630946745820337
400,0.1,2,"99%",0.0546415910315535
200,0.11,2,"99%",0.0805950604714691
300,0.11,2,"99%",0.0658055913146179
400,0.11,2,"99%",0.0569893137895157
200,0.12,2,"99%",0.0837045447432719
300,0.12,2,"99%",0.0683444745909933
400,0.12,2,"99%",0.0591880512041003
200,0.13,2,"99%",0.0866260241252881
300,0.13,2,"99%",0.0707298525176604
400,0.13,2,"99%",0.0612538490862207
200,0.14,2,"99%",0.089377936358083
300,0.14,2,"99%",0.0729767794467507
400,0.14,2,"99%",0.0631997448872602
200,0.15,2,"99%",0.0919755030771892
300,0.15,2,"99%",0.0750976837916325
400,0.15,2,"99%",0.0650365019289247
200,0.16,2,"99%",0.0944314620863857
300,0.16,2,"99%",0.0771029659255401
400,0.16,2,"99%",0.0667731271986437
200,0.17,2,"99%",0.0967565972119779
300,0.17,2,"99%",0.0790014308057811
400,0.17,2,"99%",0.068417246013125
200,0.18,2,"99%",0.0989601302702624
300,0.18,2,"99%",0.0808006080138316
400,0.18,2,"99%",0.0699753791812067
200,0.19,2,"99%",0.101050016669824
300,0.19,2,"99%",0.0825069931136008
400,0.19,2,"99%",0.071453152026246
200,0.2,2,"99%",0.103033172141956
300,0.2,2,"99%",0.0841262327760449
400,0.2,2,"99%",0.072855454708738
200,0.21,2,"99%",0.104915649266895
300,0.21,2,"99%",0.0856632689122325
400,0.21,2,"99%",0.0741865670492111
200,0.22,2,"99%",0.106702776755586
300,0.22,2,"99%",0.0871224523964303
400,0.22,2,"99%",0.0754502570153091
200,0.23,2,"99%",0.108399270663638
300,0.23,2,"99%",0.0885076338719193
400,0.23,2,"99%",0.0766498593619341
200,0.24,2,"99%",0.110009324151468
300,0.24,2,"99%",0.0898222370398433
400,0.24,2,"99%",0.0777883391012518
200,0.25,2,"99%",0.111536680634286
300,0.25,2,"99%",0.0910693183859225
400,0.25,2,"99%",0.0788683432275421
200,0.26,2,"99%",0.112984693920747
300,0.26,2,"99%",0.0922516162834553
400,0.26,2,"99%",0.0798922432416465
200,0.27,2,"99%",0.114356378049555
300,0.27,2,"99%",0.0933715916847403
400,0.27,2,"99%",0.080862170390773
200,0.28,2,"99%",0.11565444888831
300,0.28,2,"99%",0.0944314620863857
400,0.28,2,"99%",0.0817800450833171
200,0.29,2,"99%",0.116881359084769
300,0.29,2,"99%",0.0954332300668996
400,0.29,2,"99%",0.0826476016031399
200,0.3,2,"99%",0.118039327607982
300,0.3,2,"99%",0.0963787074069252
400,0.3,2,"99%",0.0834664089983046
200,0.31,2,"99%",0.119130364851218
300,0.31,2,"99%",0.0972695355856922
400,0.31,2,"99%",0.0842378888315239
200,0.32,2,"99%",0.120156294066612
300,0.32,2,"99%",0.0981072032823352
400,0.32,2,"99%",0.0849633303367463
200,0.33,2,"99%",0.121118769746303
300,0.33,2,"99%",0.0988930613840287
400,0.33,2,"99%",0.0856439034165827
200,0.34,2,"99%",0.122019293444486
300,0.34,2,"99%",0.0996283359046398
400,0.34,2,"99%",0.0862806698301873
200,0.35,2,"99%",0.12285922744069
300,0.35,2,"99%",0.100314139140745
400,0.35,2,"99%",0.0868745928546524
200,0.36,2,"99%",0.123639806570347
300,0.36,2,"99%",0.100951479331254
400,0.36,2,"99%",0.0874265456504855
200,0.37,2,"99%",0.124362148489725
300,0.37,2,"99%",0.101541269038687
400,0.37,2,"99%",0.087937318520013
200,0.38,2,"99%",0.125027262595028
300,0.38,2,"99%",0.102084332431593
400,0.38,2,"99%",0.0884076252141352
200,0.39,2,"99%",0.125636057777333
300,0.39,2,"99%",0.102581411616431
400,0.39,2,"99%",0.0888381084158973
200,0.4,2,"99%",0.126189349164067
300,0.4,2,"99%",0.103033172141956
400,0.4,2,"99%",0.089229344507429
200,0.01,2.4,"99%",0.0280753578107443
300,0.01,2.4,"99%",0.0229234336607952
400,0.01,2.4,"99%",0.019852275892216
200,0.02,2.4,"99%",0.0395035147874235
300,0.02,2.4,"99%",0.0322544847585592
400,0.02,2.4,"99%",0.0279332031868902
200,0.03,2.4,"99%",0.0481342486497567
300,0.03,2.4,"99%",0.0393014494480514
400,0.03,2.4,"99%",0.0340360536275624
200,0.04,2.4,"99%",0.0552934024432443
300,0.04,2.4,"99%",0.0451468740427697
400,0.04,2.4,"99%",0.0390983398224949
200,0.05,2.4,"99%",0.0614970817403728
300,0.05,2.4,"99%",0.0502121569780473
400,0.05,2.4,"99%",0.043485003521801
200,0.06,2.4,"99%",0.0670111783180325
300,0.06,2.4,"99%",0.0547143979806117
400,0.06,2.4,"99%",0.0473840586039818
200,0.07,2.4,"99%",0.0719943138360091
300,0.07,2.4,"99%",0.0587831110933391
400,0.07,2.4,"99%",0.0509076675203145
200,0.08,2.4,"99%",0.0765502493661643
300,0.08,2.4,"99%",0.062503016876638
400,0.08,2.4,"99%",0.054129200428336
200,0.09,2.4,"99%",0.0807513243203085
300,0.09,2.4,"99%",0.0659331802129178
400,0.09,2.4,"99%",0.0570998090166843
200,0.1,2.4,"99%",0.0846503888301933
300,0.1,2.4,"99%",0.0691167530540554
400,0.1,2.4,"99%",0.0598568639719076
200,0.11,2.4,"99%",0.0882874652874332
300,0.11,2.4,"99%",0.0720864135459645
400,0.11,2.4,"99%",0.0624286653985159
200,0.12,2.4,"99%",0.0916937346431809
300,0.12,2.4,"99%",0.0748676208286514
400,0.12,2.4,"99%",0.0648372615585131
200,0.13,2.4,"99%",0.094894054960814
300,0.13,2.4,"99%",0.0774806714258724
400,0.13,2.4,"99%",0.0671002297570805
200,0.14,2.4,"99%",0.0979086237731664
300,0.14,2.4,"99%",0.0799420565541294
400,0.14,2.4,"99%",0.0692318518066484
200,0.15,2.4,"99%",0.100754115546525
300,0.15,2.4,"99%",0.0822653908581345
400,0.15,2.4,"99%",0.0712439183354006
200,0.16,2.4,"99%",0.103444483845815
300,0.16,2.4,"99%",0.084462067375941
400,0.16,2.4,"99%",0.0731462960037178
200,0.17,2.4,"99%",0.105991541760884
300,0.17,2.4,"99%",0.0865417314550197
400,0.17,2.4,"99%",0.0749473379275379
200,0.18,2.4,"99%",0.108405391285345
300,0.18,2.4,"99%",0.0885126313386166
400,0.18,2.4,"99%",0.0766541872950486
200,0.19,2.4,"99%",0.110694747132671
300,0.19,2.4,"99%",0.0903818825604851
400,0.19,2.4,"99%",0.0782730063392418
200,0.2,2.4,"99%",0.112867185106924
300,0.2,2.4,"99%",0.0921556707387405
400,0.2,2.4,"99%",0.0798091519625435
