"Plant","LI","LC","M","UC","UI","Genus","Samples","Isolates","Prevalence","Target","Animal"
"Pigs AB018",0.00472415005318143,0.0102113180198667,0.0142760952338846,0.0195527443203759,0.0323458658500627,"Campylobacter",245,5,2.04081632653061,28,"Pigs"
"Pigs AB032",0.000680471622171132,0.00217800425421664,0.00374080049529612,0.00604500190706833,0.013615693235293,"Campylobacter",240,1,0.416666666666667,46,"Pigs"
"Pigs AB078",0.0023251200543363,0.00610869890385003,0.00942542591405786,0.0138303576692075,0.0263508523455986,"Campylobacter",204,3,1.47058823529412,18,"Pigs"
"Pigs AB081",0.000268418135208586,0.0015841501655517,0.00348319226819812,0.00724299781702141,0.0265049030917112,"Campylobacter",21,0,0,6,"Pigs"
"Calves ME016",0.0365335790541665,0.0648854697187334,0.0867463940271266,0.114192530392749,0.170822998536598,"Campylobacter",55,6,10.9090909090909,12,"Calves"
"Calves ME018",0.0227065430814538,0.044563637979984,0.0608456488616818,0.0792035943273768,0.126034281332253,"Campylobacter",70,5,7.14285714285714,8,"Calves"
"Calves ME021",0.0335142733860342,0.0623790311107765,0.0848261806107513,0.112077938670073,0.182183172152564,"Campylobacter",45,5,11.1111111111111,8,"Calves"
"Calves ME023",0.00206374696080082,0.00911266170901601,0.0167454108398905,0.0283264209428408,0.067651909368936,"Campylobacter",35,0,0,30,"Calves"
"Calves ME034",0.00301577564043005,0.0145235757986533,0.0291151306288966,0.0510782462113706,0.146896790905861,"Campylobacter",5,0,0,1,"Calves"
"Calves ME039",0.00495757498047984,0.0167064201372424,0.0267787938891725,0.0415740669788613,0.0848888343786077,"Campylobacter",40,1,2.5,16,"Calves"
"Calves ME040",0.0340789195923326,0.0620968980775657,0.0820571510200983,0.105624163287191,0.161123539954806,"Campylobacter",60,6,10,5,"Calves"
"Calves ME043",0.0139997885284904,0.031590674908712,0.0460688126281104,0.0632512977934147,0.115142078230953,"Campylobacter",55,3,5.45454545454545,30,"Calves"
"Calves ME047",0.00177269515647279,0.00768450840271616,0.0135440875025432,0.0225220799472115,0.0512246099136861,"Campylobacter",55,0,0,6,"Calves"
"Calves ME056",0.00176081495436769,0.00724478800503734,0.0132883977062373,0.0227706708028473,0.0525224175916598,"Campylobacter",55,0,0,15,"Calves"
"Calves ME058",0.0344761847523049,0.0613634335682028,0.0809075834840299,0.105434970299062,0.1598472661861,"Campylobacter",60,6,10,16,"Calves"
"Calves ME066",0.0086379173747177,0.0233028040491375,0.0353984594237431,0.0518809758091308,0.0972173211561483,"Campylobacter",50,2,4,4,"Calves"
"Pigs ME069",0.000217666786436564,0.00110512387137504,0.00208203121372282,0.00360646718329271,0.00899470329171038,"Campylobacter",230,0,0,46,"Pigs"
"Calves ME075",0.00424218616533607,0.0132884704818892,0.0213898137025926,0.032550232125558,0.0645811600038637,"Campylobacter",60,1,1.66666666666667,40,"Calves"
"Pigs ME077",0.000259087320432366,0.00159400475954292,0.00354372019086811,0.0071979087462028,0.0252394607331313,"Campylobacter",20,0,0,6,"Pigs"
"Calves ME078",0.00257776196755214,0.012793813913947,0.0247327517377381,0.0447705978363461,0.125529364668396,"Campylobacter",10,0,0,4,"Calves"
"Calves ME080",0.001800340319138,0.00760235167364632,0.0138860561815662,0.0238028534944988,0.0542663364887744,"Campylobacter",50,0,0,15,"Calves"
"Calves ME086",0.0122197351021014,0.0269241298301786,0.0387037748377589,0.0536390075921026,0.0937131183910795,"Campylobacter",70,3,4.28571428571429,8,"Calves"
"Calves ME100",0.00170690017109506,0.00751398016225658,0.0140055367375664,0.0239736801609596,0.0545038406773781,"Campylobacter",50,0,0,12,"Calves"
"Calves ME102",0.00172729289664731,0.0069300231029514,0.0127208728412975,0.0212351605423091,0.0487885642074551,"Campylobacter",60,0,0,30,"Calves"
"Pigs ME103",0.000595829966959869,0.00207431565252721,0.00359190342872921,0.0061282296005894,0.0143531986633802,"Campylobacter",240,1,0.416666666666667,58,"Pigs"
"Calves ME104",0.00194588334801144,0.00734453735413809,0.013178221366337,0.0215909133984801,0.0472392642665821,"Campylobacter",60,0,0,10,"Calves"
"Calves ME112",0.020715702011708,0.0415260644926433,0.0589972022598592,0.0799996238420553,0.135434953175712,"Campylobacter",55,4,7.27272727272727,4,"Calves"
"Pigs ME131",0.000205813401290071,0.00103828470181723,0.00199776467860716,0.00364057882018569,0.00884141320533273,"Campylobacter",245,0,0,34,"Pigs"
"Calves ME132",0.0265125472966061,0.0784873966900217,0.133422075077154,0.223527359328949,0.474456672245828,"Campylobacter",4,2,50,1,"Calves"
"Calves ME137",0.00819740914345455,0.02184271908794,0.0332196864277018,0.0492069626267847,0.0891893735433118,"Campylobacter",55,2,3.63636363636364,1,"Calves"
"Calves ME500",0.010644884089404,0.0268177768226643,0.0409653613867512,0.0602224947889048,0.11492120069671,"Campylobacter",40,2,5,8,"Calves"
"Poultry NMD002",0.447664609631862,0.542713863177156,0.595650879161502,0.644501727780695,0.726824242116392,"Campylobacter",44,25,56.8181818181818,9,"Poultry"
"Poultry NMD008",0.899676311133513,0.941400380498692,0.957172864198923,0.969685969489084,0.986981904550442,"Campylobacter",76,74,97.3684210526316,88,"Poultry"
"Poultry NMD012",0.756078725114096,0.817679610599889,0.846025433269202,0.87159783329016,0.913727637996907,"Campylobacter",71,60,84.5070422535211,53,"Poultry"
"Poultry NMD013",0.665658889954839,0.734995325142029,0.767700820236084,0.798376073387694,0.854182085040666,"Campylobacter",80,61,76.25,55,"Poultry"
"Poultry NMD014",0.513335273601746,0.626025920498042,0.68045549325,0.730925870216368,0.818658535915451,"Campylobacter",35,23,65.7142857142857,11,"Poultry"
"Poultry NMD016",0.823456783611558,0.884278870556786,0.911191727616433,0.933998455917942,0.96481501984935,"Campylobacter",51,47,92.156862745098,44,"Poultry"
"Poultry NMD019",0.593351845397563,0.666814476924161,0.700650932145304,0.732604496680145,0.789795437769259,"Campylobacter",84,58,69.0476190476191,35,"Poultry"
"Poultry NMD028",0.598537852307504,0.812521043403429,0.890626894946507,0.938186261047248,0.984750983500341,"Campylobacter",4,4,100,1,"Poultry"
"Poultry NMD029",0.563438220952533,0.799126162004105,0.878582433032033,0.933015052126025,0.985467846455028,"Campylobacter",3,3,100,1,"Poultry"
"Calves SPM51",0.0431252697368122,0.0728579767361794,0.095127492122285,0.120281621560334,0.183850599677475,"Campylobacter",60,7,11.6666666666667,6,"Calves"
"Pigs AB015",0.103481206778195,0.127869140129449,0.143415196404531,0.158591456334128,0.187929816103406,"Enterococci",224,31,13.8392857142857,58,"Pigs"
"Pigs AB018",0.199475031088597,0.231192723028489,0.250196828866631,0.268932706295649,0.30570913133483,"Enterococci",225,58,25.7777777777778,28,"Pigs"
"Pigs AB032",0.0782193011381697,0.099021426443201,0.111753157996404,0.125693222121877,0.15637364159952,"Enterococci",240,25,10.4166666666667,46,"Pigs"
"Pigs AB078",0.18448382548095,0.219243277921051,0.239342868419196,0.26044623379819,0.303935083660033,"Enterococci",177,44,24.8587570621469,18,"Pigs"
"Pigs AB081",0.141554458432337,0.209779632238894,0.252150964627202,0.303911960446113,0.418738894087048,"Enterococci",21,7,33.3333333333333,6,"Pigs"
"Calves ME016",0.171916488101269,0.230105844454323,0.263078466421916,0.298824693377808,0.373586585383183,"Enterococci",55,15,27.2727272727273,12,"Calves"
"Calves ME018",0.105939390589148,0.149972813478677,0.177321758845907,0.20516454370193,0.264028525003323,"Enterococci",65,10,15.3846153846154,8,"Calves"
"Calves ME021",0.124974904054299,0.181649843043584,0.214666481707389,0.253169312955065,0.337142042169009,"Enterococci",40,8,20,8,"Calves"
"Calves ME023",0.243750729103267,0.321810023720458,0.365336175048946,0.413860008051234,0.512957522595522,"Enterococci",35,15,42.8571428571429,30,"Calves"
"Calves ME034",0.126154153222869,0.214505259812497,0.27513411342195,0.344264913621871,0.49847213096613,"Enterococci",5,2,40,1,"Calves"
"Calves ME039",0.162730941360109,0.229216394359179,0.26554559082691,0.30486881592462,0.388447759238283,"Enterococci",40,11,27.5,16,"Calves"
"Calves ME040",0.102681333095341,0.148270236628414,0.174937028245113,0.204094795146178,0.268189349770606,"Enterococci",60,9,15,5,"Calves"
"Calves ME043",0.185098789555045,0.242943918569706,0.278314401615486,0.315121004502279,0.390434572663794,"Enterococci",55,16,29.0909090909091,30,"Calves"
"Calves ME047",0.141632606059886,0.193007507629282,0.222910558097953,0.255707835166583,0.325557849871496,"Enterococci",55,12,21.8181818181818,6,"Calves"
"Calves ME056",0.1601502231919,0.219135028334063,0.250260117146366,0.283071859216889,0.3557873705361,"Enterococci",55,14,25.4545454545455,15,"Calves"
"Calves ME058",0.272438429654969,0.345601130289838,0.381805358711257,0.421544315629809,0.500359578619163,"Enterococci",59,25,42.3728813559322,16,"Calves"
"Calves ME066",0.0846969170903789,0.129858251318498,0.157392391646605,0.188294751254543,0.2538577194353,"Enterococci",50,6,12,4,"Calves"
"Pigs ME069",0.066537178336658,0.0855854945192237,0.0974474336200156,0.111073164471643,0.136746765541506,"Enterococci",230,20,8.69565217391304,46,"Pigs"
"Calves ME075",0.168387776020389,0.226502213545626,0.262814489037241,0.298635598011956,0.376375933369868,"Enterococci",52,14,26.9230769230769,40,"Calves"
"Pigs ME077",0.0815507094938508,0.140830938210235,0.180896200532241,0.226679011602707,0.337576649743708,"Enterococci",16,3,18.75,6,"Pigs"
"Calves ME078",0.087611418821711,0.154544937565715,0.200083674637273,0.250304290000145,0.370064561656472,"Enterococci",10,1,10,4,"Calves"
"Calves ME080",0.128952265487903,0.180854205285325,0.212444124083822,0.244739790977757,0.314994752320393,"Enterococci",55,11,20,15,"Calves"
"Calves ME086",0.237457252200972,0.298904009259494,0.333627793986419,0.368760866290151,0.437916334216298,"Enterococci",70,25,35.7142857142857,8,"Calves"
"Calves ME100",0.260173611814236,0.333042751389049,0.372209775376984,0.418182375828866,0.500243909368379,"Enterococci",50,21,42,12,"Calves"
"Calves ME102",0.206981820206542,0.270963590847786,0.30602084188163,0.341511963964102,0.419071687384444,"Enterococci",55,18,32.7272727272727,30,"Calves"
"Pigs ME103",0.187741905538653,0.217906714993596,0.235264969550236,0.253420055204686,0.28854911448375,"Enterococci",231,56,24.2424242424242,58,"Pigs"
"Calves ME104",0.26070648759243,0.327304627906001,0.363369595072067,0.403164887709657,0.482234249511793,"Enterococci",60,24,40,10,"Calves"
"Calves ME112",0.0813969658446354,0.124731373793322,0.149838471323735,0.179222440501984,0.23975395901551,"Enterococci",61,7,11.4754098360656,4,"Calves"
"Pigs ME131",0.134600975617075,0.161914653092072,0.17709681859509,0.194266138117007,0.225461242468229,"Enterococci",236,42,17.7966101694915,34,"Pigs"
"Calves ME132",0.17352660003501,0.283209648897116,0.357117941908683,0.443292507307199,0.621521252242264,"Enterococci",3,3,100,1,"Calves"
"Calves ME137",0.0510703504786682,0.0865062158574289,0.10928867344666,0.136138044125384,0.193651857449945,"Enterococci",50,2,4,1,"Calves"
"Calves ME500",0.149238288526084,0.210137438959592,0.246937472899189,0.287034183197097,0.373320682106334,"Enterococci",40,10,25,8,"Calves"
"Poultry NMD002",0.235795392038531,0.304592997252034,0.342141292753719,0.378491797256753,0.454657506597382,"Enterococci",58,18,31.0344827586207,9,"Poultry"
"Poultry NMD008",0.583298082155912,0.633434642887625,0.660963266332773,0.685841437193683,0.733734205448916,"Enterococci",138,94,68.1159420289855,88,"Poultry"
"Poultry NMD012",0.429213694471733,0.481681637200489,0.511173320819553,0.538725751143495,0.591986057217843,"Enterococci",130,67,51.5384615384615,53,"Poultry"
"Poultry NMD013",0.434331771754975,0.486383293871218,0.514252482649091,0.544028248155581,0.598957089269996,"Enterococci",127,66,51.9685039370079,55,"Poultry"
"Poultry NMD014",0.257380850237467,0.315825891185051,0.348367522986717,0.382529688350276,0.452951397293324,"Enterococci",77,25,32.4675324675325,11,"Poultry"
"Poultry NMD016",0.455941446994657,0.519036616204857,0.551810567806496,0.584684032722006,0.644665224378598,"Enterococci",92,52,56.5217391304348,44,"Poultry"
"Poultry NMD019",0.370719660795206,0.425393236167683,0.454584759036957,0.483318455993409,0.539147037439884,"Enterococci",126,57,45.2380952380952,35,"Poultry"
"Poultry NMD025",0.213637141537945,0.363462654033198,0.449528011254396,0.537152496056029,0.690508499293451,"Enterococci",3,1,33.3333333333333,1,"Poultry"
"Poultry NMD028",0.18752984649535,0.306572218342362,0.373125651107063,0.444889533468594,0.584679304841548,"Enterococci",9,2,22.2222222222222,1,"Poultry"
"Poultry NMD029",0.274152149501421,0.420494310252202,0.502635843279785,0.586109245627441,0.735615843100812,"Enterococci",3,2,66.6666666666667,1,"Poultry"
"Calves SPM51",0.122375585615472,0.1697323863488,0.198930031164602,0.230276291832057,0.29153357676334,"Enterococci",60,11,18.3333333333333,6,"Calves"
